stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\hguan\Desktop\final_project_ori\TowerGame\bin\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.04777] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04778] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04779] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04780] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04781] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04783] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04784] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04785] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04786] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04787] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04788] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04789] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04790] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04791] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04792] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04794] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04795] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04796] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04797] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04798] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04799] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04800] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04801] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04802] Single Buffer requirement not met.
